RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
gagas,GAGAS,10,1469,pikir,Kata Kerja,
jèwèr,JEWER,10,1470,"ditarik telinganya, jewer",,
goblog,GOBLOG,10,1471,bodoh,,
kluwih,KLUWIH,10,1472,nangka sayur,,
édhum,EDHUM,10,1473,terlindung dari sinar matahari,,
anyes,ANYES,10,1474,dingin (benda,Kata Sifat,
nyoh,NYOH,10,1475,kata/partikel yang sepadan dengan 'nih' ketika memberikan sesuatu,,
klabakan,KLABAKAN,10,1476,"gugup, tergesa-gesa",,
cumpèn,CUMPEN,10,1477,"kurang, jauh dari cukup",,
angkah,ANGKAH,10,1478,maksud,Kata Benda,
bebandan,BEBANDAN,10,1479,tawanan,Kata Benda,
aras,ARAS,10,1480,"cium, bagian paling dalam dari batang pohon pisang",,
ngadhang,NGADHANG,10,1481,menghadang,Kata Kerja,
ngorok,NGOROK,10,1482,mengorok,Kata Kerja,
kebablasen,KEBABLASEN,10,1483,"kelewatan, keterusan",Kata Sifat,
cengkah,CENGKAH,10,1484,"tidak sefaham, beda pendapat",,
cékat-cèket,CEKAT-CEKET,10,1485,"segera, sepat",,
ontran-ontran,ONTRAN-ONTRAN,10,1486,tragedi,,
urik,URIK,10,1487,curang,Kata Sifat,
bajang,BAJANG,10,1488,kerdil,Kata Sifat,
kandhutan,KANDHUTAN,10,1489,"kandungan, kehamilan",,
umbar,UMBAR,10,1490,biarkan/lepaskan; dibiarkan bebas,Kata Kerja,
moh,MOH,10,1491,tidak mau; ogah,,
mboseni,MBOSENI,10,1492,membosankan,,
bènten,BENTEN,10,1493,beda,,
carang,CARANG,10,1494,ranting,Kata Benda,
bengkah,BENGKAH,10,1495,retak,,
boyong,BOYONG,10,1496,pindah,Kata Kerja,
ledhok,LEDHOK,10,1497,lebih rendah dari sekelilingnya,,
buwang,BUWANG,10,1498,buang,Kata Kerja,
bengkok,BENGKOK,10,1499,tanah yang hak garapnya diberikan kepada lurah sebagai bagian dari fasilitas jabatan,Kata Benda,
batih,BATIH,10,1500,keluarga,Kata Benda,
brukut,BRUKUT,10,1501,terbungkus rapat,Kata Sifat,
endog,ENDOG,10,1502,telur,Kata Benda,
pamor,PAMOR,10,1503,kewibawaan,Kata Benda,
gisik,GISIK,10,1504,"pantai, pesisir",,
adhep,ADHEP,10,1505,hadap,Kata Kerja,
ujur,UJUR,10,1506,membujur,Kata Benda,
alem,ALEM,10,1507,"puji, pujian",Kata Kerja,
apek,APEK,10,1508,bau tidak sedap yang berasal dari barang usang atau kamar yang lama tertutup,Kata Sifat,
bandhul,BANDHUL,10,1509,"bandul, pemberat",Kata Benda,
jujug,JUJUG,10,1510,langsung menuju,Kata Kerja,
blereng,BLERENG,10,1511,tidak nampak jelas; kabur; rabun,Kata Sifat,
bunglon,BUNGLON,10,1512,binatang sejenis tokek yang pandai menyesuaikan warna tubuhnya dengan sekelilingnya untuk perlindungan diri,,
brahala,BRAHALA,10,1513,raksasa sebesar gunung; berhala; masalah besar,Kata Benda,
brutu,BRUTU,10,1514,tunggir ayam; kelenjar lemak pada unggas letaknya di atas dubur,Kata Benda,
éndhang,ENDHANG,10,1515,gadis padepokan,,
duratmaka,DURATMAKA,10,1516,pencuri,Kata Benda,
kramas,KRAMAS,10,1517,keramas,Kata Kerja,
nyandhing,NYANDHING,10,1518,bersama,,
jujul,JUJUL,10,1519,kembalian,Kata Benda,
srei,SREI,10,1520,Iri,,
nyunggi,NYUNGGI,10,1521,menaruh sesuatu di kepala,,
gembili,GEMBILI,10,1522,sejenis ubi/talas,Kata Benda,
