Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
531,ayem,tentram (hati,Kata Sifat,,,,,,
532,bandha,"harta, kekayaan",Kata Benda,,,,,,
533,gathuk,"ketemu dan cocok, sesuai",,,,,,,
534,pinarak,mampir,Kata Kerja,,,,,Krama,
535,betah,butuh,Kata Kerja,,,,,,
536,ngajeni,"menghormati, menghargai",Kata Kerja,,,,,,
537,ajeng,akan,Kata Keterangan,,,,,Krama,
538,bakda,setelah,Kata Keadaan,,,,,,
539,ules,warna (untuk binatang,Kata Benda,,,,,,
540,wekasan,akhir,Kata Benda,,,,,,
541,luh,Air Mata,Kata Benda,,,,,,
542,enggon,tempat,Kata Benda,,,,,,
543,mligi,"melulu, khusus",,,,,,,
544,gerah,sakit,,,,,,Krama,
545,juragan,majikan,Kata Benda,,,,,,
546,dhalang,dalang,Kata Benda,,,,,,
547,andhap,"bagian bawah, rendah",Kata Benda,,,,,Krama,
548,éka,satu,,,,,,,
549,wasis,"pandai; pandai, trampil, cekatan, luwes",Kata Benda,,,,,,
550,babad,cerita sejarah,Kata Benda,,,,,,
551,sugeng,hidup,,,,,,Krama,
552,anteng,tenang,Kata Sifat,,,,,,
553,widadari,bidadari perempuan,Kata Benda,,,,,,
554,semar,tokoh ponokawan,,,,,,,
555,suruh,daun sirih (lihat sedhah),,,,,,,
556,catur,empat,Kata Sifat,,,,,,
557,pandhawa,lima bersaudara yang semuanya laki-laki,Kata Benda,,,,,,
558,harja,selamat,Kata Sifat,,,,,,
559,seger,segar,,,,,,,
560,rukun,Akur/tidak berselisih/bersahabat,,,,,,,
561,gadhah,mempunyai,Kata Kerja,,,,,,
562,yasa,membuat,Kata Kerja,,,,,,
